Year,UNIT_MEASURE,Administrative area,Sex,Education,Value
2013,Number,City of Bijeljina,F,Secondary school,19671
2013,Number,Bileca,Both sexes,Secondary school,4799
2013,Number,Bileca,M,Secondary school,2692
2013,Number,Bileca,F,Secondary school,2107
2013,Number,Bratunac,Both sexes,Secondary school,7868
2013,Number,Bratunac,M,Secondary school,4649
2013,Number,Bratunac,F,Secondary school,3219
2013,Number,Brod,Both sexes,Secondary school,7331
2013,Number,Brod,M,Secondary school,4080
2013,Number,Brod,F,Secondary school,3251
2013,Number,Visegrad,Both sexes,Secondary school,4635
2013,Number,Visegrad,M,Secondary school,2672
2013,Number,Visegrad,F,Secondary school,1963
2013,Number,Vlasenica,Both sexes,Secondary school,4607
2013,Number,Vlasenica,M,Secondary school,2596
2013,Number,Vlasenica,F,Secondary school,2011
2013,Number,Vukosavlje,Both sexes,Secondary school,1504
2013,Number,Vukosavlje,M,Secondary school,919
2013,Number,Vukosavlje,F,Secondary school,585
2013,Number,Gacko,Both sexes,Secondary school,3801
2013,Number,Gacko,M,Secondary school,2151
2013,Number,Gacko,F,Secondary school,1650
2013,Number,City of Gradiska,Both sexes,Secondary school,21633
2013,Number,City of Gradiska,M,Secondary school,11815
2013,Number,City of Gradiska,F,Secondary school,9818
2013,Number,City of Derventa,Both sexes,Secondary school,10884
2013,Number,City of Derventa,M,Secondary school,6033
2013,Number,City of Derventa,F,Secondary school,4851
2013,Number,City of Doboj,Both sexes,Secondary school,29051
2013,Number,City of Doboj,M,Secondary school,16192
2013,Number,City of Doboj,F,Secondary school,12859
2013,Number,Donji Zabar,Both sexes,Secondary school,1261
2013,Number,Donji Zabar,M,Secondary school,739
2013,Number,Donji Zabar,F,Secondary school,522
2013,Number,City of Zvornik,Both sexes,Secondary school,21815
2013,Number,City of Zvornik,M,Secondary school,12776
2013,Number,City of Zvornik,F,Secondary school,9039
2013,Number,East Ilidza,Both sexes,Secondary school,7474
2013,Number,East Ilidza,M,Secondary school,4082
2013,Number,East Ilidza,F,Secondary school,3392
2013,Number,East Drvar,Both sexes,Secondary school,29
2013,Number,East Drvar,M,Secondary school,24
2013,Number,East Drvar,F,Secondary school,5
2013,Number,East Mostar,Both sexes,Secondary school,99
2013,Number,East Mostar,M,Secondary school,65
2013,Number,East Mostar,F,Secondary school,34
2013,Number,East Stari Grad,Both sexes,Secondary school,548
2013,Number,East Stari Grad,M,Secondary school,329
2013,Number,East Stari Grad,F,Secondary school,219
2013,Number,East Novo Sarajevo,Both sexes,Secondary school,5073
2013,Number,East Novo Sarajevo,M,Secondary school,2656
2013,Number,East Novo Sarajevo,F,Secondary school,2417
2013,Number,Jezero,Both sexes,Secondary school,435
2013,Number,Jezero,M,Secondary school,273
2013,Number,Jezero,F,Secondary school,162
2013,Number,Kalinovik,Both sexes,Secondary school,881
2013,Number,Kalinovik,M,Secondary school,551
2013,Number,Kalinovik,F,Secondary school,330
2013,Number,Knezevo,Both sexes,Secondary school,3485
2013,Number,Knezevo,M,Secondary school,2026
2013,Number,Knezevo,F,Secondary school,1459
2013,Number,Kozarska Dubica,Both sexes,Secondary school,9698
2013,Number,Kozarska Dubica,M,Secondary school,5259
2013,Number,Kozarska Dubica,F,Secondary school,4439
2013,Number,Kostajnica,Both sexes,Secondary school,2798
2013,Number,Kostajnica,M,Secondary school,1545
2013,Number,Kostajnica,F,Secondary school,1253
2013,Number,Kotor Varos,Both sexes,Secondary school,7807
2013,Number,Kotor Varos,M,Secondary school,4380
2013,Number,Kotor Varos,F,Secondary school,3427
2013,Number,Krupa Na Uni,Both sexes,Secondary school,355
2013,Number,Krupa Na Uni,M,Secondary school,236
2013,Number,Krupa Na Uni,F,Secondary school,119
2013,Number,Kupres,Both sexes,Secondary school,84
2013,Number,Kupres,M,Secondary school,59
2013,Number,Kupres,F,Secondary school,25
2013,Number,Laktasi,Both sexes,Secondary school,15658
2013,Number,Laktasi,M,Secondary school,8480
2013,Number,Laktasi,F,Secondary school,7178
2013,Number,Lopare,Both sexes,Secondary school,5477
2013,Number,Lopare,M,Secondary school,3169
2013,Number,Lopare,F,Secondary school,2308
2013,Number,Ljubinje,Both sexes,Secondary school,1432
2013,Number,Ljubinje,M,Secondary school,800
2013,Number,Ljubinje,F,Secondary school,632
2013,Number,Milici,Both sexes,Secondary school,4441
2013,Number,Milici,M,Secondary school,2743
2013,Number,Milici,F,Secondary school,1698
2013,Number,Modrica,Both sexes,Secondary school,9850
2013,Number,Modrica,M,Secondary school,5470
2013,Number,Modrica,F,Secondary school,4380
2013,Number,Mrkonjic Grad,Both sexes,Secondary school,6479
2013,Number,Mrkonjic Grad,M,Secondary school,3500
2013,Number,Mrkonjic Grad,F,Secondary school,2979
2013,Number,Nevesinje,Both sexes,Secondary school,5592
2013,Number,Nevesinje,M,Secondary school,3261
2013,Number,Nevesinje,F,Secondary school,2331
2013,Number,Novi Grad,Both sexes,Secondary school,11197
2013,Number,Novi Grad,M,Secondary school,6273
2013,Number,Novi Grad,F,Secondary school,4924
2013,Number,Novo Gorazde,Both sexes,Secondary school,1533
2013,Number,Novo Gorazde,M,Secondary school,952
2013,Number,Novo Gorazde,F,Secondary school,581
2013,Number,Osmaci,Both sexes,Secondary school,2300
2013,Number,Osmaci,M,Secondary school,1406
2013,Number,Osmaci,F,Secondary school,894
2013,Number,Ostra Luka,Both sexes,Secondary school,954
2013,Number,Ostra Luka,M,Secondary school,578
2013,Number,Ostra Luka,F,Secondary school,376
2013,Number,Pale,Both sexes,Secondary school,10069
2013,Number,Pale,M,Secondary school,5373
2013,Number,Pale,F,Secondary school,4696
2013,Number,Pelagicevo,Both sexes,Secondary school,1264
2013,Number,Pelagicevo,M,Secondary school,726
2013,Number,Pelagicevo,F,Secondary school,538
2013,Number,Petrovac,Both sexes,Secondary school,169
2013,Number,Petrovac,M,Secondary school,96
2013,Number,Petrovac,F,Secondary school,73
2013,Number,Petrovo,Both sexes,Secondary school,2821
2013,Number,Petrovo,M,Secondary school,1664
2013,Number,Petrovo,F,Secondary school,1157
2013,Number,City of Prijedor,Both sexes,Secondary school,37714
2013,Number,City of Prijedor,M,Secondary school,20808
2013,Number,City of Prijedor,F,Secondary school,16906
2013,Number,Prnjavor,Both sexes,Secondary school,12669
2013,Number,Prnjavor,M,Secondary school,7015
2013,Number,Prnjavor,F,Secondary school,5654
2013,Number,Ribnik,Both sexes,Secondary school,2154
2013,Number,Ribnik,M,Secondary school,1291
2013,Number,Ribnik,F,Secondary school,863
2013,Number,Rogatica,Both sexes,Secondary school,4652
2013,Number,Rogatica,M,Secondary school,2694
2013,Number,Rogatica,F,Secondary school,1958
2013,Number,Rudo,Both sexes,Secondary school,3609
2013,Number,Rudo,M,Secondary school,2200
2013,Number,Rudo,F,Secondary school,1409
2013,Number,Sokolac,Both sexes,Secondary school,5543
2013,Number,Sokolac,M,Secondary school,3105
2013,Number,Sokolac,F,Secondary school,2438
2013,Number,Srbac,Both sexes,Secondary school,6472
2013,Number,Srbac,M,Secondary school,3466
2013,Number,Srbac,F,Secondary school,3006
2013,Number,Srebrenica,Both sexes,Secondary school,4716
2013,Number,Srebrenica,M,Secondary school,2832
2013,Number,Srebrenica,F,Secondary school,1884
2013,Number,Teslic,Both sexes,Secondary school,14063
2013,Number,Teslic,M,Secondary school,8090
2013,Number,Teslic,F,Secondary school,5973
2013,Number,City of Trebinje,Both sexes,Secondary school,13551
2013,Number,City of Trebinje,M,Secondary school,7183
2013,Number,City of Trebinje,F,Secondary school,6368
2013,Number,Trnovo,Both sexes,Secondary school,942
2013,Number,Trnovo,M,Secondary school,576
2013,Number,Trnovo,F,Secondary school,366
2013,Number,Ugljevik,Both sexes,Secondary school,6085
2013,Number,Ugljevik,M,Secondary school,3558
2013,Number,Ugljevik,F,Secondary school,2527
2013,Number,Foca,Both sexes,Secondary school,8378
2013,Number,Foca,M,Secondary school,4841
2013,Number,Foca,F,Secondary school,3537
2013,Number,Han Pijesak,Both sexes,Secondary school,1514
2013,Number,Han Pijesak,M,Secondary school,846
2013,Number,Han Pijesak,F,Secondary school,668
2013,Number,Cajnice,Both sexes,Secondary school,1993
2013,Number,Cajnice,M,Secondary school,1187
2013,Number,Cajnice,F,Secondary school,806
2013,Number,Celinac,Both sexes,Secondary school,6411
2013,Number,Celinac,M,Secondary school,3550
2013,Number,Celinac,F,Secondary school,2861
2013,Number,Samac,Both sexes,Secondary school,6680
2013,Number,Samac,M,Secondary school,3735
2013,Number,Samac,F,Secondary school,2945
2013,Number,Sekovici,Both sexes,Secondary school,2601
2013,Number,Sekovici,M,Secondary school,1563
2013,Number,Sekovici,F,Secondary school,1038
2013,Number,Sipovo,Both sexes,Secondary school,4430
2013,Number,Sipovo,M,Secondary school,2584
2013,Number,Sipovo,F,Secondary school,1846
2013,Number,Republika Srpska,Both sexes,Secondary specialization,7618
2013,Number,Republika Srpska,M,Secondary specialization,6324
2013,Number,Republika Srpska,F,Secondary specialization,1294
2013,Number,City of Banja Luka,Both sexes,Secondary specialization,1552
2013,Number,City of Banja Luka,M,Secondary specialization,1261
2013,Number,City of Banja Luka,F,Secondary specialization,291
2013,Number,Berkovici,Both sexes,Secondary specialization,11
2013,Number,Berkovici,M,Secondary specialization,11
2013,Number,Berkovici,F,Secondary specialization,0
2013,Number,City of Bijeljina,Both sexes,Secondary specialization,564
2013,Number,City of Bijeljina,M,Secondary specialization,485
2013,Number,City of Bijeljina,F,Secondary specialization,79
2013,Number,Bileca,Both sexes,Secondary specialization,68
2013,Number,Bileca,M,Secondary specialization,56
2013,Number,Bileca,F,Secondary specialization,12
2013,Number,Bratunac,Both sexes,Secondary specialization,77
2013,Number,Bratunac,M,Secondary specialization,61
2013,Number,Bratunac,F,Secondary specialization,16
2013,Number,Brod,Both sexes,Secondary specialization,187
2013,Number,Brod,M,Secondary specialization,160
2013,Number,Brod,F,Secondary specialization,27
2013,Number,Visegrad,Both sexes,Secondary specialization,137
2013,Number,Visegrad,M,Secondary specialization,120
2013,Number,Visegrad,F,Secondary specialization,17
2013,Number,Vlasenica,Both sexes,Secondary specialization,28
2013,Number,Vlasenica,M,Secondary specialization,21
2013,Number,Vlasenica,F,Secondary specialization,7
2013,Number,Vukosavlje,Both sexes,Secondary specialization,14
2013,Number,Vukosavlje,M,Secondary specialization,12
2013,Number,Vukosavlje,F,Secondary specialization,2
2013,Number,Gacko,Both sexes,Secondary specialization,269
2013,Number,Gacko,M,Secondary specialization,249
2013,Number,Gacko,F,Secondary specialization,20
2013,Number,City of Gradiska,Both sexes,Secondary specialization,192
2013,Number,City of Gradiska,M,Secondary specialization,142
2013,Number,City of Gradiska,F,Secondary specialization,50
2013,Number,City of Derventa,Both sexes,Secondary specialization,120
2013,Number,City of Derventa,M,Secondary specialization,94
2013,Number,City of Derventa,F,Secondary specialization,26
2013,Number,City of Doboj,Both sexes,Secondary specialization,507
2013,Number,City of Doboj,M,Secondary specialization,448
2013,Number,City of Doboj,F,Secondary specialization,59
2013,Number,Donji Zabar,Both sexes,Secondary specialization,10
2013,Number,Donji Zabar,M,Secondary specialization,8
2013,Number,Donji Zabar,F,Secondary specialization,2
2013,Number,City of Zvornik,Both sexes,Secondary specialization,277
2013,Number,City of Zvornik,M,Secondary specialization,244
2013,Number,City of Zvornik,F,Secondary specialization,33
2013,Number,East Ilidza,Both sexes,Secondary specialization,140
2013,Number,East Ilidza,M,Secondary specialization,123
2013,Number,East Ilidza,F,Secondary specialization,17
2013,Number,East Drvar,Both sexes,Secondary specialization,1
2013,Number,East Drvar,M,Secondary specialization,0
2013,Number,East Drvar,F,Secondary specialization,1
2013,Number,East Mostar,Both sexes,Secondary specialization,0
2013,Number,East Mostar,M,Secondary specialization,0
2013,Number,East Mostar,F,Secondary specialization,0
2013,Number,East Stari Grad,Both sexes,Secondary specialization,16
2013,Number,East Stari Grad,M,Secondary specialization,15
2013,Number,East Stari Grad,F,Secondary specialization,1
2013,Number,East Novo Sarajevo,Both sexes,Secondary specialization,81
2013,Number,East Novo Sarajevo,M,Secondary specialization,69
2013,Number,East Novo Sarajevo,F,Secondary specialization,12
2013,Number,Jezero,Both sexes,Secondary specialization,1
2013,Number,Jezero,M,Secondary specialization,1
2013,Number,Jezero,F,Secondary specialization,0
2013,Number,Kalinovik,Both sexes,Secondary specialization,16
2013,Number,Kalinovik,M,Secondary specialization,13
2013,Number,Kalinovik,F,Secondary specialization,3
2013,Number,Knezevo,Both sexes,Secondary specialization,12
2013,Number,Knezevo,M,Secondary specialization,11
2013,Number,Knezevo,F,Secondary specialization,1
2013,Number,Kozarska Dubica,Both sexes,Secondary specialization,91
2013,Number,Kozarska Dubica,M,Secondary specialization,64
2013,Number,Kozarska Dubica,F,Secondary specialization,27
2013,Number,Kostajnica,Both sexes,Secondary specialization,23
2013,Number,Kostajnica,M,Secondary specialization,18
2013,Number,Kostajnica,F,Secondary specialization,5
2013,Number,Kotor Varos,Both sexes,Secondary specialization,74
2013,Number,Kotor Varos,M,Secondary specialization,52
2013,Number,Kotor Varos,F,Secondary specialization,22
2013,Number,Krupa Na Uni,Both sexes,Secondary specialization,5
2013,Number,Krupa Na Uni,M,Secondary specialization,3
2013,Number,Krupa Na Uni,F,Secondary specialization,2
2013,Number,Kupres,Both sexes,Secondary specialization,1
2013,Number,Kupres,M,Secondary specialization,0
2013,Number,Kupres,F,Secondary specialization,1
2013,Number,Laktasi,Both sexes,Secondary specialization,169
2013,Number,Laktasi,M,Secondary specialization,141
2013,Number,Laktasi,F,Secondary specialization,28
2013,Number,Lopare,Both sexes,Secondary specialization,64
2013,Number,Lopare,M,Secondary specialization,45
2013,Number,Lopare,F,Secondary specialization,19
2013,Number,Ljubinje,Both sexes,Secondary specialization,81
2013,Number,Ljubinje,M,Secondary specialization,72
2013,Number,Ljubinje,F,Secondary specialization,9
2013,Number,Milici,Both sexes,Secondary specialization,15
2013,Number,Milici,M,Secondary specialization,10
2013,Number,Milici,F,Secondary specialization,5
2013,Number,Modrica,Both sexes,Secondary specialization,132
2013,Number,Modrica,M,Secondary specialization,103
2013,Number,Modrica,F,Secondary specialization,29
2013,Number,Mrkonjic Grad,Both sexes,Secondary specialization,89
2013,Number,Mrkonjic Grad,M,Secondary specialization,71
2013,Number,Mrkonjic Grad,F,Secondary specialization,18
2013,Number,Nevesinje,Both sexes,Secondary specialization,56
2013,Number,Nevesinje,M,Secondary specialization,51
2013,Number,Nevesinje,F,Secondary specialization,5
2013,Number,Novi Grad,Both sexes,Secondary specialization,104
2013,Number,Novi Grad,M,Secondary specialization,75
2013,Number,Novi Grad,F,Secondary specialization,29
2013,Number,Novo Gorazde,Both sexes,Secondary specialization,10
2013,Number,Novo Gorazde,M,Secondary specialization,10
2013,Number,Novo Gorazde,F,Secondary specialization,0
2013,Number,Osmaci,Both sexes,Secondary specialization,15
2013,Number,Osmaci,M,Secondary specialization,12
2013,Number,Osmaci,F,Secondary specialization,3
2013,Number,Ostra Luka,Both sexes,Secondary specialization,13
2013,Number,Ostra Luka,M,Secondary specialization,11
2013,Number,Ostra Luka,F,Secondary specialization,2
2013,Number,Pale,Both sexes,Secondary specialization,247
2013,Number,Pale,M,Secondary specialization,205
2013,Number,Pale,F,Secondary specialization,42
2013,Number,Pelagicevo,Both sexes,Secondary specialization,4
2013,Number,Pelagicevo,M,Secondary specialization,3
2013,Number,Pelagicevo,F,Secondary specialization,1
2013,Number,Petrovac,Both sexes,Secondary specialization,0
2013,Number,Petrovac,M,Secondary specialization,0
2013,Number,Petrovac,F,Secondary specialization,0
2013,Number,Petrovo,Both sexes,Secondary specialization,79
2013,Number,Petrovo,M,Secondary specialization,74
2013,Number,Petrovo,F,Secondary specialization,5
2013,Number,City of Prijedor,Both sexes,Secondary specialization,666
2013,Number,City of Prijedor,M,Secondary specialization,492
2013,Number,City of Prijedor,F,Secondary specialization,174
2013,Number,Prnjavor,Both sexes,Secondary specialization,112
2013,Number,Prnjavor,M,Secondary specialization,83
2013,Number,Prnjavor,F,Secondary specialization,29
2013,Number,Ribnik,Both sexes,Secondary specialization,14
2013,Number,Ribnik,M,Secondary specialization,13
2013,Number,Ribnik,F,Secondary specialization,1
2013,Number,Rogatica,Both sexes,Secondary specialization,56
2013,Number,Rogatica,M,Secondary specialization,49
2013,Number,Rogatica,F,Secondary specialization,7
2013,Number,Rudo,Both sexes,Secondary specialization,12
2013,Number,Rudo,M,Secondary specialization,11
2013,Number,Rudo,F,Secondary specialization,1
2013,Number,Sokolac,Both sexes,Secondary specialization,71
2013,Number,Sokolac,M,Secondary specialization,57
2013,Number,Sokolac,F,Secondary specialization,14
2013,Number,Srbac,Both sexes,Secondary specialization,61
2013,Number,Srbac,M,Secondary specialization,46
2013,Number,Srbac,F,Secondary specialization,15
2013,Number,Srebrenica,Both sexes,Secondary specialization,33
2013,Number,Srebrenica,M,Secondary specialization,26
2013,Number,Srebrenica,F,Secondary specialization,7
2013,Number,Teslic,Both sexes,Secondary specialization,170
2013,Number,Teslic,M,Secondary specialization,138
2013,Number,Teslic,F,Secondary specialization,32
2013,Number,City of Trebinje,Both sexes,Secondary specialization,432
2013,Number,City of Trebinje,M,Secondary specialization,394
2013,Number,City of Trebinje,F,Secondary specialization,38
2013,Number,Trnovo,Both sexes,Secondary specialization,15
2013,Number,Trnovo,M,Secondary specialization,13
2013,Number,Trnovo,F,Secondary specialization,2
2013,Number,Ugljevik,Both sexes,Secondary specialization,97
2013,Number,Ugljevik,M,Secondary specialization,89
2013,Number,Ugljevik,F,Secondary specialization,8
2013,Number,Foca,Both sexes,Secondary specialization,107
2013,Number,Foca,M,Secondary specialization,93
2013,Number,Foca,F,Secondary specialization,14
2013,Number,Han Pijesak,Both sexes,Secondary specialization,20
2013,Number,Han Pijesak,M,Secondary specialization,20
2013,Number,Han Pijesak,F,Secondary specialization,0
2013,Number,Cajnice,Both sexes,Secondary specialization,38
2013,Number,Cajnice,M,Secondary specialization,37
2013,Number,Cajnice,F,Secondary specialization,1
2013,Number,Celinac,Both sexes,Secondary specialization,69
2013,Number,Celinac,M,Secondary specialization,62
2013,Number,Celinac,F,Secondary specialization,7
2013,Number,Samac,Both sexes,Secondary specialization,55
2013,Number,Samac,M,Secondary specialization,41
2013,Number,Samac,F,Secondary specialization,14
2013,Number,Sekovici,Both sexes,Secondary specialization,16
2013,Number,Sekovici,M,Secondary specialization,16
2013,Number,Sekovici,F,Secondary specialization,0
2013,Number,Sipovo,Both sexes,Secondary specialization,22
2013,Number,Sipovo,M,Secondary specialization,20
2013,Number,Sipovo,F,Secondary specialization,2
2013,Number,Republika Srpska,Both sexes,Higher school and first degree of faculty,33960
2013,Number,Republika Srpska,M,Higher school and first degree of faculty,19142
2013,Number,Republika Srpska,F,Higher school and first degree of faculty,14818
2013,Number,City of Banja Luka,Both sexes,Higher school and first degree of faculty,7972
2013,Number,City of Banja Luka,M,Higher school and first degree of faculty,4272
2013,Number,City of Banja Luka,F,Higher school and first degree of faculty,3700
2013,Number,Berkovici,Both sexes,Higher school and first degree of faculty,47
2013,Number,Berkovici,M,Higher school and first degree of faculty,34
2013,Number,Berkovici,F,Higher school and first degree of faculty,13
2013,Number,City of Bijeljina,Both sexes,Higher school and first degree of faculty,3354
2013,Number,City of Bijeljina,M,Higher school and first degree of faculty,1805
2013,Number,City of Bijeljina,F,Higher school and first degree of faculty,1549
2013,Number,Bileca,Both sexes,Higher school and first degree of faculty,434
2013,Number,Bileca,M,Higher school and first degree of faculty,249
2013,Number,Bileca,F,Higher school and first degree of faculty,185
2013,Number,Bratunac,Both sexes,Higher school and first degree of faculty,399
2013,Number,Bratunac,M,Higher school and first degree of faculty,230
2013,Number,Bratunac,F,Higher school and first degree of faculty,169
2013,Number,Brod,Both sexes,Higher school and first degree of faculty,374
2013,Number,Brod,M,Higher school and first degree of faculty,215
2013,Number,Brod,F,Higher school and first degree of faculty,159
2013,Number,Visegrad,Both sexes,Higher school and first degree of faculty,375
2013,Number,Visegrad,M,Higher school and first degree of faculty,196
2013,Number,Visegrad,F,Higher school and first degree of faculty,179
2013,Number,Vlasenica,Both sexes,Higher school and first degree of faculty,200
2013,Number,Vlasenica,M,Higher school and first degree of faculty,123
2013,Number,Vlasenica,F,Higher school and first degree of faculty,77
2013,Number,Vukosavlje,Both sexes,Higher school and first degree of faculty,39
2013,Number,Vukosavlje,M,Higher school and first degree of faculty,25
2013,Number,Vukosavlje,F,Higher school and first degree of faculty,14
2013,Number,Gacko,Both sexes,Higher school and first degree of faculty,335
2013,Number,Gacko,M,Higher school and first degree of faculty,191
2013,Number,Gacko,F,Higher school and first degree of faculty,144
2013,Number,City of Gradiska,Both sexes,Higher school and first degree of faculty,1222
2013,Number,City of Gradiska,M,Higher school and first degree of faculty,658
2013,Number,City of Gradiska,F,Higher school and first degree of faculty,564
2013,Number,City of Derventa,Both sexes,Higher school and first degree of faculty,542
2013,Number,City of Derventa,M,Higher school and first degree of faculty,331
2013,Number,City of Derventa,F,Higher school and first degree of faculty,211
2013,Number,City of Doboj,Both sexes,Higher school and first degree of faculty,1827
2013,Number,City of Doboj,M,Higher school and first degree of faculty,1078
2013,Number,City of Doboj,F,Higher school and first degree of faculty,749
2013,Number,Donji Zabar,Both sexes,Higher school and first degree of faculty,37
2013,Number,Donji Zabar,M,Higher school and first degree of faculty,23
2013,Number,Donji Zabar,F,Higher school and first degree of faculty,14
2013,Number,City of Zvornik,Both sexes,Higher school and first degree of faculty,1283
2013,Number,City of Zvornik,M,Higher school and first degree of faculty,716
2013,Number,City of Zvornik,F,Higher school and first degree of faculty,567
2013,Number,East Ilidza,Both sexes,Higher school and first degree of faculty,513
2013,Number,East Ilidza,M,Higher school and first degree of faculty,315
2013,Number,East Ilidza,F,Higher school and first degree of faculty,198
2013,Number,East Drvar,Both sexes,Higher school and first degree of faculty,5
2013,Number,East Drvar,M,Higher school and first degree of faculty,5
2013,Number,East Drvar,F,Higher school and first degree of faculty,0
2013,Number,East Mostar,Both sexes,Higher school and first degree of faculty,2
2013,Number,East Mostar,M,Higher school and first degree of faculty,2
2013,Number,East Mostar,F,Higher school and first degree of faculty,0
2013,Number,East Stari Grad,Both sexes,Higher school and first degree of faculty,27
2013,Number,East Stari Grad,M,Higher school and first degree of faculty,14
2013,Number,East Stari Grad,F,Higher school and first degree of faculty,13
2013,Number,East Novo Sarajevo,Both sexes,Higher school and first degree of faculty,375
2013,Number,East Novo Sarajevo,M,Higher school and first degree of faculty,225
2013,Number,East Novo Sarajevo,F,Higher school and first degree of faculty,150
2013,Number,Jezero,Both sexes,Higher school and first degree of faculty,16
2013,Number,Jezero,M,Higher school and first degree of faculty,10
2013,Number,Jezero,F,Higher school and first degree of faculty,6
2013,Number,Kalinovik,Both sexes,Higher school and first degree of faculty,58
2013,Number,Kalinovik,M,Higher school and first degree of faculty,41
2013,Number,Kalinovik,F,Higher school and first degree of faculty,17
2013,Number,Knezevo,Both sexes,Higher school and first degree of faculty,125
2013,Number,Knezevo,M,Higher school and first degree of faculty,93
2013,Number,Knezevo,F,Higher school and first degree of faculty,32
2013,Number,Kozarska Dubica,Both sexes,Higher school and first degree of faculty,644
2013,Number,Kozarska Dubica,M,Higher school and first degree of faculty,345
2013,Number,Kozarska Dubica,F,Higher school and first degree of faculty,299
2013,Number,Kostajnica,Both sexes,Higher school and first degree of faculty,206
2013,Number,Kostajnica,M,Higher school and first degree of faculty,94
2013,Number,Kostajnica,F,Higher school and first degree of faculty,112
2013,Number,Kotor Varos,Both sexes,Higher school and first degree of faculty,225
2013,Number,Kotor Varos,M,Higher school and first degree of faculty,144
2013,Number,Kotor Varos,F,Higher school and first degree of faculty,81
2013,Number,Krupa Na Uni,Both sexes,Higher school and first degree of faculty,11
2013,Number,Krupa Na Uni,M,Higher school and first degree of faculty,6
2013,Number,Krupa Na Uni,F,Higher school and first degree of faculty,5
2013,Number,Kupres,Both sexes,Higher school and first degree of faculty,2
2013,Number,Kupres,M,Higher school and first degree of faculty,2
2013,Number,Kupres,F,Higher school and first degree of faculty,0
2013,Number,Laktasi,Both sexes,Higher school and first degree of faculty,822
2013,Number,Laktasi,M,Higher school and first degree of faculty,462
2013,Number,Laktasi,F,Higher school and first degree of faculty,360
2013,Number,Lopare,Both sexes,Higher school and first degree of faculty,217
2013,Number,Lopare,M,Higher school and first degree of faculty,133
2013,Number,Lopare,F,Higher school and first degree of faculty,84
2013,Number,Ljubinje,Both sexes,Higher school and first degree of faculty,126
2013,Number,Ljubinje,M,Higher school and first degree of faculty,69
2013,Number,Ljubinje,F,Higher school and first degree of faculty,57
2013,Number,Milici,Both sexes,Higher school and first degree of faculty,213
2013,Number,Milici,M,Higher school and first degree of faculty,113
2013,Number,Milici,F,Higher school and first degree of faculty,100
2013,Number,Modrica,Both sexes,Higher school and first degree of faculty,483
2013,Number,Modrica,M,Higher school and first degree of faculty,303
2013,Number,Modrica,F,Higher school and first degree of faculty,180
2013,Number,Mrkonjic Grad,Both sexes,Higher school and first degree of faculty,350
2013,Number,Mrkonjic Grad,M,Higher school and first degree of faculty,204
2013,Number,Mrkonjic Grad,F,Higher school and first degree of faculty,146
2013,Number,Nevesinje,Both sexes,Higher school and first degree of faculty,384
2013,Number,Nevesinje,M,Higher school and first degree of faculty,236
2013,Number,Nevesinje,F,Higher school and first degree of faculty,148
2013,Number,Novi Grad,Both sexes,Higher school and first degree of faculty,714
2013,Number,Novi Grad,M,Higher school and first degree of faculty,366
2013,Number,Novi Grad,F,Higher school and first degree of faculty,348
2013,Number,Novo Gorazde,Both sexes,Higher school and first degree of faculty,48
2013,Number,Novo Gorazde,M,Higher school and first degree of faculty,39
2013,Number,Novo Gorazde,F,Higher school and first degree of faculty,9
2013,Number,Osmaci,Both sexes,Higher school and first degree of faculty,65
2013,Number,Osmaci,M,Higher school and first degree of faculty,48
2013,Number,Osmaci,F,Higher school and first degree of faculty,17
2013,Number,Ostra Luka,Both sexes,Higher school and first degree of faculty,36
2013,Number,Ostra Luka,M,Higher school and first degree of faculty,16
2013,Number,Ostra Luka,F,Higher school and first degree of faculty,20
2013,Number,Pale,Both sexes,Higher school and first degree of faculty,645
2013,Number,Pale,M,Higher school and first degree of faculty,389
2013,Number,Pale,F,Higher school and first degree of faculty,256
2013,Number,Pelagicevo,Both sexes,Higher school and first degree of faculty,81
2013,Number,Pelagicevo,M,Higher school and first degree of faculty,44
2013,Number,Pelagicevo,F,Higher school and first degree of faculty,37
2013,Number,Petrovac,Both sexes,Higher school and first degree of faculty,11
2013,Number,Petrovac,M,Higher school and first degree of faculty,6
2013,Number,Petrovac,F,Higher school and first degree of faculty,5
2013,Number,Petrovo,Both sexes,Higher school and first degree of faculty,166
2013,Number,Petrovo,M,Higher school and first degree of faculty,109
2013,Number,Petrovo,F,Higher school and first degree of faculty,57
2013,Number,City of Prijedor,Both sexes,Higher school and first degree of faculty,2448
2013,Number,City of Prijedor,M,Higher school and first degree of faculty,1252
2013,Number,City of Prijedor,F,Higher school and first degree of faculty,1196
2013,Number,Prnjavor,Both sexes,Higher school and first degree of faculty,670
2013,Number,Prnjavor,M,Higher school and first degree of faculty,388
2013,Number,Prnjavor,F,Higher school and first degree of faculty,282
2013,Number,Ribnik,Both sexes,Higher school and first degree of faculty,99
2013,Number,Ribnik,M,Higher school and first degree of faculty,68
2013,Number,Ribnik,F,Higher school and first degree of faculty,31
2013,Number,Rogatica,Both sexes,Higher school and first degree of faculty,315
2013,Number,Rogatica,M,Higher school and first degree of faculty,209
2013,Number,Rogatica,F,Higher school and first degree of faculty,106
2013,Number,Rudo,Both sexes,Higher school and first degree of faculty,277
2013,Number,Rudo,M,Higher school and first degree of faculty,175
2013,Number,Rudo,F,Higher school and first degree of faculty,102
2013,Number,Sokolac,Both sexes,Higher school and first degree of faculty,393
