Year,UNIT_MEASURE,ADMIN_AREA,Pol,Literacy,Value
2013,Broj,rudo,Ukupno,unknown_literacy,40.0
2013,Broj,rudo,M,unknown_literacy,16.0
2013,Broj,rudo,Ž,unknown_literacy,24.0
2013,Broj,sokolac,Ukupno,unknown_literacy,69.0
2013,Broj,sokolac,M,unknown_literacy,29.0
2013,Broj,sokolac,Ž,unknown_literacy,40.0
2013,Broj,srbac,Ukupno,unknown_literacy,250.0
2013,Broj,srbac,M,unknown_literacy,90.0
2013,Broj,srbac,Ž,unknown_literacy,160.0
2013,Broj,srebrenica,Ukupno,unknown_literacy,134.0
2013,Broj,srebrenica,M,unknown_literacy,26.0
2013,Broj,srebrenica,Ž,unknown_literacy,108.0
2013,Broj,teslic,Ukupno,unknown_literacy,346.0
2013,Broj,teslic,M,unknown_literacy,124.0
2013,Broj,teslic,Ž,unknown_literacy,222.0
2013,Broj,grad_trebinje,Ukupno,unknown_literacy,188.0
2013,Broj,grad_trebinje,M,unknown_literacy,59.0
2013,Broj,grad_trebinje,Ž,unknown_literacy,129.0
2013,Broj,trnovo,Ukupno,unknown_literacy,12.0
2013,Broj,trnovo,M,unknown_literacy,4.0
2013,Broj,trnovo,Ž,unknown_literacy,8.0
2013,Broj,ugljevik,Ukupno,unknown_literacy,98.0
2013,Broj,ugljevik,M,unknown_literacy,37.0
2013,Broj,ugljevik,Ž,unknown_literacy,61.0
2013,Broj,foca,Ukupno,unknown_literacy,128.0
2013,Broj,foca,M,unknown_literacy,51.0
2013,Broj,foca,Ž,unknown_literacy,77.0
2013,Broj,han_pijesak,Ukupno,unknown_literacy,13.0
2013,Broj,han_pijesak,M,unknown_literacy,4.0
2013,Broj,han_pijesak,Ž,unknown_literacy,9.0
2013,Broj,cajnice,Ukupno,unknown_literacy,24.0
2013,Broj,cajnice,M,unknown_literacy,9.0
2013,Broj,cajnice,Ž,unknown_literacy,15.0
2013,Broj,celinac,Ukupno,unknown_literacy,126.0
2013,Broj,celinac,M,unknown_literacy,54.0
2013,Broj,celinac,Ž,unknown_literacy,72.0
2013,Broj,samac,Ukupno,unknown_literacy,185.0
2013,Broj,samac,M,unknown_literacy,64.0
2013,Broj,samac,Ž,unknown_literacy,121.0
2013,Broj,sekovici,Ukupno,unknown_literacy,65.0
2013,Broj,sekovici,M,unknown_literacy,27.0
2013,Broj,sekovici,Ž,unknown_literacy,38.0
2013,Broj,sipovo,Ukupno,unknown_literacy,72.0
2013,Broj,sipovo,M,unknown_literacy,29.0
2013,Broj,sipovo,Ž,unknown_literacy,43.0
